,city,dist_1,dist_2,dist_18,dist_77,dist_3,dist_5,dist_6,dist_14,dist_17,dist_7,dist_8,dist_9,dist_16,dist_15,dist_22,dist_24,dist_12,dist_19,dist_35,dist_25,dist_26,dist_39,type
2013-11-30,14481.0,262.0,861.0,717.0,56.0,652.0,209.0,608.0,777.0,477.0,271.0,505.0,530.0,484.0,1038.0,1075.0,946.0,911.0,1137.0,840.0,953.0,517.0,655.0,Actual Values
2013-12-31,13093.0,255.0,771.0,627.0,63.0,681.0,210.0,470.0,733.0,410.0,286.0,403.0,393.0,389.0,1007.0,840.0,923.0,830.0,1054.0,734.0,887.0,515.0,612.0,Actual Values
2014-01-31,12316.0,238.0,763.0,579.0,57.0,527.0,191.0,414.0,626.0,318.0,253.0,415.0,379.0,542.0,930.0,807.0,971.0,810.0,992.0,746.0,798.0,458.0,502.0,Actual Values
2014-02-28,11252.0,225.0,585.0,554.0,50.0,515.0,163.0,453.0,558.0,326.0,259.0,407.0,324.0,440.0,877.0,699.0,803.0,704.0,929.0,640.0,741.0,419.0,581.0,Actual Values
2014-03-31,14146.0,267.0,760.0,733.0,46.0,642.0,166.0,543.0,715.0,437.0,290.0,475.0,496.0,466.0,1089.0,871.0,1158.0,801.0,1217.0,832.0,914.0,578.0,650.0,Actual Values
2014-04-30,15832.0,303.0,864.0,788.0,65.0,741.0,156.0,545.0,766.0,449.0,319.0,496.0,574.0,591.0,1179.0,1132.0,1317.0,1020.0,1237.0,918.0,1125.0,564.0,683.0,Actual Values
2014-05-31,17385.0,304.0,976.0,885.0,78.0,855.0,221.0,657.0,922.0,487.0,283.0,494.0,546.0,598.0,1306.0,1072.0,1357.0,1358.0,1409.0,955.0,1188.0,650.0,784.0,Actual Values
2014-06-30,16819.0,316.0,941.0,802.0,84.0,751.0,201.0,625.0,898.0,494.0,307.0,526.0,569.0,713.0,1378.0,993.0,1273.0,1112.0,1320.0,981.0,1122.0,671.0,742.0,Actual Values
2014-07-31,18012.0,372.0,920.0,957.0,94.0,743.0,209.0,678.0,964.0,594.0,293.0,627.0,604.0,661.0,1415.0,1205.0,1418.0,1198.0,1471.0,1007.0,1144.0,694.0,744.0,Actual Values
2014-08-31,16813.0,353.0,975.0,835.0,88.0,752.0,203.0,621.0,831.0,488.0,306.0,521.0,561.0,543.0,1355.0,1275.0,1150.0,1075.0,1487.0,875.0,1101.0,705.0,713.0,Actual Values
2014-09-30,16819.0,295.0,804.0,940.0,56.0,761.0,176.0,745.0,828.0,492.0,344.0,450.0,715.0,472.0,1420.0,1183.0,1303.0,1116.0,1268.0,908.0,1024.0,723.0,796.0,Actual Values
2014-10-31,17664.0,338.0,956.0,964.0,54.0,785.0,215.0,781.0,881.0,474.0,405.0,512.0,809.0,573.0,1431.0,1218.0,1302.0,1074.0,1358.0,970.0,1038.0,736.0,790.0,Actual Values
2014-11-30,14880.0,260.0,783.0,769.0,59.0,636.0,200.0,666.0,724.0,361.0,256.0,438.0,666.0,520.0,1316.0,1053.0,1180.0,748.0,1083.0,841.0,1034.0,628.0,659.0,Actual Values
2014-12-31,14208.0,240.0,815.0,724.0,60.0,695.0,199.0,643.0,782.0,301.0,304.0,444.0,622.0,426.0,1248.0,963.0,1060.0,768.0,935.0,769.0,942.0,565.0,703.0,Actual Values
2015-01-31,13634.0,243.0,627.0,789.0,52.0,617.0,148.0,700.0,696.0,332.0,267.0,367.0,700.0,451.0,1114.0,924.0,1059.0,711.0,922.0,739.0,923.0,559.0,694.0,Actual Values
2015-02-28,12266.0,248.0,675.0,608.0,58.0,498.0,150.0,612.0,620.0,291.0,222.0,308.0,668.0,436.0,1074.0,955.0,858.0,658.0,824.0,742.0,753.0,427.0,581.0,Actual Values
2015-03-31,14367.0,246.0,714.0,781.0,64.0,622.0,147.0,739.0,732.0,339.0,289.0,419.0,755.0,461.0,1268.0,1003.0,1039.0,759.0,1014.0,905.0,858.0,521.0,692.0,Actual Values
2015-04-30,16766.0,329.0,855.0,923.0,50.0,741.0,173.0,834.0,829.0,460.0,317.0,417.0,831.0,704.0,1363.0,1300.0,1208.0,869.0,1144.0,983.0,1003.0,585.0,848.0,Actual Values
2015-05-31,17067.0,337.0,912.0,851.0,66.0,753.0,137.0,806.0,809.0,514.0,298.0,453.0,723.0,615.0,1474.0,1316.0,1356.0,950.0,1276.0,1007.0,936.0,694.0,784.0,Actual Values
2015-06-30,16429.0,309.0,821.0,907.0,59.0,781.0,167.0,879.0,797.0,478.0,294.0,416.0,641.0,581.0,1343.0,1105.0,1297.0,907.0,1280.0,973.0,956.0,667.0,771.0,Actual Values
2015-07-31,17227.0,297.0,885.0,1078.0,70.0,786.0,185.0,780.0,920.0,517.0,320.0,411.0,635.0,599.0,1438.0,1126.0,1384.0,992.0,1367.0,1028.0,931.0,686.0,792.0,Actual Values
2015-08-31,17388.0,357.0,844.0,1068.0,62.0,745.0,191.0,742.0,966.0,579.0,352.0,501.0,561.0,587.0,1503.0,1169.0,1346.0,1059.0,1271.0,1005.0,925.0,757.0,798.0,Actual Values
2015-09-30,15358.0,332.0,819.0,872.0,52.0,706.0,179.0,575.0,834.0,445.0,295.0,446.0,517.0,550.0,1193.0,1091.0,1080.0,886.0,1290.0,958.0,899.0,661.0,678.0,Actual Values
2015-10-31,15188.0,315.0,782.0,859.0,55.0,645.0,154.0,620.0,791.0,446.0,317.0,423.0,575.0,537.0,1257.0,1145.0,1197.0,879.0,1277.0,856.0,848.0,605.0,605.0,Actual Values
2015-11-30,13875.0,321.0,707.0,692.0,48.0,614.0,183.0,633.0,828.0,392.0,280.0,385.0,547.0,461.0,1141.0,903.0,1103.0,760.0,1123.0,787.0,877.0,520.0,570.0,Actual Values
2015-12-31,13735.0,298.0,680.0,771.0,49.0,596.0,184.0,618.0,815.0,404.0,257.0,415.0,526.0,437.0,1229.0,976.0,964.0,726.0,1023.0,763.0,843.0,533.0,628.0,Actual Values
