dispatch_date,Vandalism/Criminal Mischief,DISTRICT_,Robbery Firearm,Thefts,Other Assaults,Theft from Vehicle,Fraud,Aggravated Assault No Firearm,Burglary Non-Residential,Forgery and Counterfeiting,Disorderly Conduct,Burglary Residential,All Other Offenses,Aggravated Assault Firearm,Robbery No Firearm,Narcotic / Drug Law Violations,Vagrancy/Loitering,Other Sex Offenses (Not Commercialized),Arson,Rape,Liquor Law Violations,Weapon Violations,Embezzlement,Public Drunkenness,Prostitution and Commercialized Vice,Receiving Stolen Property,Offenses Against Family and Children,Gambling Violations,DRIVING UNDER THE INFLUENCE,Recovered Stolen Motor Vehicle,Motor Vehicle Theft,Homicide - Criminal,Homicide - Criminal ,Homicide - Justifiable ,Homicide - Gross Negligence
2014-03-31,118,15,16.0,115,168,84,64,50.0,10.0,2.0,12.0,43.0,162,8.0,27.0,42.0,0.0,16.0,5.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,33.0,79,12.0,1.0,0.0,0.0,0.0
2014-04-30,115,15,18.0,143,195,90,84,31.0,8.0,1.0,14.0,72.0,159,9.0,26.0,61.0,0.0,8.0,2.0,7.0,2.0,11.0,1.0,0.0,7.0,0.0,2.0,0.0,16.0,78,18.0,1.0,0.0,0.0,0.0
2014-05-31,118,15,26.0,147,197,87,77,53.0,9.0,1.0,23.0,58.0,240,14.0,29.0,64.0,0.0,14.0,4.0,5.0,3.0,8.0,2.0,0.0,4.0,1.0,4.0,0.0,23.0,76,19.0,0.0,0.0,0.0,0.0
2014-06-30,133,15,24.0,175,231,91,82,50.0,14.0,2.0,19.0,75.0,210,12.0,39.0,66.0,0.0,5.0,4.0,11.0,8.0,10.0,2.0,2.0,8.0,0.0,0.0,0.0,18.0,63,23.0,1.0,0.0,0.0,0.0
2014-07-31,119,15,29.0,165,185,139,61,44.0,14.0,1.0,12.0,94.0,260,11.0,41.0,63.0,1.0,8.0,1.0,6.0,4.0,7.0,1.0,0.0,13.0,1.0,0.0,0.0,20.0,85,28.0,2.0,0.0,0.0,0.0
2014-08-31,104,15,24.0,166,177,132,62,62.0,10.0,5.0,10.0,66.0,219,9.0,50.0,52.0,1.0,8.0,5.0,11.0,3.0,7.0,1.0,0.0,8.0,0.0,3.0,0.0,19.0,100,36.0,5.0,0.0,0.0,0.0
2014-09-30,125,15,25.0,152,207,93,108,43.0,8.0,1.0,25.0,66.0,277,16.0,32.0,69.0,5.0,10.0,1.0,8.0,14.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,27.0,78,20.0,1.0,0.0,0.0,0.0
2014-10-31,118,15,29.0,165,218,86,115,46.0,13.0,2.0,40.0,61.0,246,9.0,34.0,57.0,24.0,7.0,4.0,8.0,5.0,12.0,2.0,4.0,4.0,0.0,3.0,0.0,27.0,70,22.0,0.0,0.0,0.0,0.0
2014-11-30,120,15,22.0,107,190,81,159,47.0,2.0,1.0,22.0,61.0,257,12.0,32.0,40.0,9.0,5.0,3.0,6.0,4.0,9.0,0.0,8.0,4.0,0.0,0.0,0.0,36.0,54,24.0,0.0,1.0,0.0,0.0
2014-12-31,116,15,43.0,148,193,74,98,43.0,9.0,5.0,31.0,49.0,200,12.0,27.0,32.0,9.0,10.0,0.0,10.0,1.0,5.0,1.0,3.0,5.0,0.0,2.0,0.0,33.0,77,11.0,0.0,1.0,0.0,0.0
2015-01-31,95,15,32.0,122,158,62,87,27.0,11.0,1.0,15.0,55.0,180,16.0,31.0,34.0,14.0,8.0,8.0,7.0,2.0,11.0,0.0,6.0,20.0,0.0,2.0,0.0,29.0,58,19.0,4.0,0.0,0.0,0.0
